Etanol,Acid malic,Magneslum,Phenol,Color,Shade,Type
14.23,1.71,127,2.8,5.64,1.04,1
13.2,1.78,100,2.65,4.38,1.05,2
13.16,2.36,101,2.8,5.68,1.03,2
14.37,1.95,113,3.85,7.8,0.86,1
13.24,2.59,118,2.8,4.32,1.04,1
12.37,0.94,88,1.98,1.95,1.05,3
12.33,1.1,101,2.05,3.27,1.25,2
12.64,1.36,100,2.02,5.75,0.98,2
13.67,1.25,93,2.1,3.8,1.23,3
12.37,1.13,87,3.5,4.45,1.22,3
12.86,1.35,122,1.51,4.1,0.76,1
12.88,2.99,104,1.3,5.4,0.74,2
12.81,2.31,98,1.15,5.7,0.66,2
12.7,3.55,106,1.7,5,0.78,2
12.51,1.24,85,2,5.45,0.75,3
